	Growth	Growth
	Rate	Rate
Well	min	hours	R	Max OD	lag time (minutes)
W2 - 35 ppt Control_14	0.00854	0.512	0.99865	0.20188	937.1
W2 - 35 ppt Control_15	0.00914	0.548	0.99717	0.28361	1114.8
W2 - 35 ppt Control_19	0.00923	0.554	0.99768	0.2258	836.5
W2 - 35 ppt Control_8	0.0079	0.474	0.99918	0.30219	932.3
W2 - 35 ppt Control_3	0.00708	0.425	0.99882	0.19482	856.3
W2 - 35 ppt Control_7	0.0077	0.462	0.99583	0.17311	929.1
W2 - 35 ppt Control_24	0.00906	0.543	0.99408	0.18618	857.5
W2 - 35 ppt Control_11	0.00835	0.501	0.99838	0.22876	899.1
W2 - 35 ppt Control_23	0.00907	0.544	0.99582	0.20749	823.3
W2 - 35 ppt Control_17	0.00974	0.584	0.99381	0.26155	958.3
W2 - 35 ppt Control_6	0.00719	0.432	0.99771	0.16262	892.9
W2 - 35 ppt Control_10	0.00893	0.536	0.99813	0.3122	978.2
W2 - 35 ppt Control_22	0.00758	0.455	0.99627	0.28341	1368.1
W2 - 35 ppt Control_5	0.00773	0.464	0.99893	0.27641	926.8
W2 - 35 ppt Control_20	0.00897	0.538	0.99836	0.27502	813.3
W2 - 35 ppt Control_12	0.0091	0.546	0.99976	0.30316	955.6
W2 - 35 ppt Control_2	0.00757	0.454	0.99882	0.35862	920.4
W2 - 35 ppt Control_9	0.00847	0.508	0.9989	0.17445	961.5
W2 - 35 ppt Control_4	0.00824	0.495	0.99804	0.17251	941.1
W2 - 35 ppt Control_1	0.00745	0.447	0.99977	0.29451	887.4
W2 - 35 ppt Control_13	0.00902	0.541	0.99919	0.20739	944.1
