Min	w4_rep1_S1	w4_rep1_S2	w4_rep1_S3	w4_rep1_S4	w4_rep1_S5	w4_rep1_S6	w4_rep1_S7	w4_rep1_S8	w4_rep1_S9	w4_rep1_S10	w4_rep1_S11	w4_rep1_S12	w4_rep1_S13	w4_rep1_S14	w4_rep1_S15
0	0.0836	0.0825	0.0812	0.0834	0.0815	0.082	0.0821	0.0826	0.0829	0.0824	0.0816	0.0838	0.0814	0.0829	0.0815
10	0.0834	0.0823	0.0818	0.0833	0.081	0.0817	0.0818	0.0831	0.0824	0.0825	0.0819	0.0829	0.0816	0.0824	0.082
20	0.0832	0.0827	0.082	0.0834	0.0812	0.0818	0.0815	0.0834	0.0825	0.0829	0.0821	0.0836	0.0813	0.0829	0.0823
30	0.0825	0.0826	0.0819	0.0832	0.0816	0.0828	0.082	0.0833	0.0825	0.0831	0.0823	0.0829	0.0818	0.083	0.0822
40	0.083	0.0827	0.0826	0.0833	0.0817	0.0831	0.082	0.0832	0.0824	0.0836	0.0826	0.0829	0.0818	0.0819	0.0822
50	0.0831	0.0825	0.0817	0.0831	0.0815	0.0829	0.0819	0.0832	0.0828	0.083	0.0828	0.0832	0.0815	0.0817	0.0824
60	0.0832	0.0823	0.0824	0.0833	0.0817	0.0829	0.0822	0.0827	0.0824	0.0826	0.0831	0.0826	0.0816	0.0826	0.0821
70	0.0833	0.082	0.0828	0.0833	0.0814	0.0821	0.0827	0.0829	0.0829	0.083	0.0833	0.083	0.0818	0.082	0.0826
80	0.0832	0.0826	0.0826	0.0835	0.0813	0.0822	0.0827	0.0832	0.0833	0.0833	0.0836	0.0831	0.0823	0.0812	0.0817
90	0.083	0.0827	0.0823	0.0833	0.0815	0.0822	0.0825	0.0829	0.0834	0.0835	0.0838	0.0825	0.0817	0.0814	0.0819
100	0.0824	0.0824	0.0826	0.0833	0.0817	0.0825	0.0826	0.083	0.0831	0.0836	0.084	0.0828	0.0825	0.0819	0.0815
110	0.0831	0.0822	0.0825	0.0837	0.0814	0.0824	0.0824	0.0831	0.083	0.083	0.0843	0.0824	0.0826	0.0815	0.0822
120	0.0828	0.0823	0.0826	0.0841	0.0814	0.082	0.0818	0.0826	0.0828	0.0832	0.0845	0.0824	0.0812	0.0816	0.0823
130	0.0829	0.0818	0.0826	0.0844	0.0808	0.0821	0.0822	0.0829	0.0837	0.0832	0.0848	0.0823	0.0823	0.0819	0.0828
140	0.083	0.0819	0.0827	0.0841	0.0813	0.082	0.0823	0.0826	0.0832	0.0833	0.085	0.083	0.0823	0.0821	0.0829
150	0.0832	0.0824	0.0824	0.0833	0.0814	0.082	0.0822	0.0827	0.0827	0.0833	0.0853	0.0827	0.0815	0.0826	0.0821
160	0.0834	0.0823	0.0826	0.0834	0.0816	0.0821	0.0819	0.0831	0.0829	0.0834	0.0855	0.083	0.0827	0.082	0.0829
170	0.0828	0.0821	0.0825	0.0833	0.082	0.0827	0.0823	0.0835	0.0833	0.0834	0.0858	0.0836	0.0811	0.0821	0.0826
180	0.0824	0.0823	0.0829	0.0834	0.082	0.0826	0.0824	0.0833	0.0833	0.0835	0.086	0.0833	0.082	0.0821	0.0825
190	0.0826	0.0825	0.0829	0.0835	0.0821	0.0826	0.0821	0.0833	0.0832	0.0835	0.0862	0.0838	0.0823	0.0815	0.0819
200	0.0825	0.0819	0.0829	0.0835	0.0821	0.0823	0.0818	0.083	0.0834	0.0836	0.0865	0.0836	0.0815	0.0821	0.0824
210	0.0826	0.0821	0.0826	0.0835	0.0821	0.082	0.0825	0.083	0.083	0.0836	0.0867	0.0833	0.082	0.0823	0.0816
220	0.0827	0.0823	0.0828	0.0832	0.0816	0.0818	0.0824	0.083	0.0835	0.0837	0.087	0.0826	0.0823	0.0815	0.0821
230	0.0829	0.0819	0.0826	0.0833	0.0815	0.0821	0.0826	0.0827	0.0837	0.0837	0.0872	0.0835	0.0825	0.0819	0.0819
240	0.0829	0.0816	0.0832	0.0831	0.0816	0.0821	0.0827	0.0824	0.0837	0.0838	0.0875	0.0836	0.0818	0.082	0.082
250	0.0831	0.0816	0.0829	0.0834	0.0812	0.0822	0.0829	0.083	0.0835	0.0838	0.0877	0.0842	0.0819	0.0816	0.0815
260	0.083	0.0819	0.0829	0.0834	0.0818	0.0818	0.0828	0.0829	0.0834	0.0839	0.0879	0.0838	0.0817	0.0818	0.0819
270	0.0826	0.082	0.0832	0.0837	0.0811	0.0821	0.0827	0.0831	0.0841	0.0839	0.0882	0.0837	0.0817	0.0828	0.083
280	0.0829	0.082	0.0831	0.0831	0.0815	0.0818	0.0824	0.0824	0.0835	0.084	0.0884	0.0835	0.0811	0.0817	0.0831
290	0.0829	0.0817	0.0836	0.0831	0.0815	0.0818	0.0823	0.083	0.0834	0.084	0.0887	0.0829	0.0825	0.0829	0.0828
300	0.0832	0.0824	0.083	0.0833	0.0812	0.0819	0.0828	0.0832	0.0833	0.0841	0.0889	0.0839	0.082	0.0822	0.0823
310	0.0833	0.0823	0.083	0.0835	0.0815	0.0819	0.0824	0.0832	0.0831	0.0841	0.0892	0.0831	0.0819	0.0827	0.0822
320	0.0829	0.0823	0.083	0.0835	0.0815	0.082	0.0825	0.0829	0.0832	0.0842	0.0894	0.0831	0.0828	0.0822	0.0817
