Min	w2_35cntrl_S1	w2_35cntrl_S2	w2_35cntrl_S3	w2_35cntrl_S4	w2_35cntrl_S5	w2_35cntrl_S6	w2_35cntrl_S7	w2_35cntrl_S8	w2_35cntrl_S9	w2_35cntrl_S10	w2_35cntrl_S11	w2_35cntrl_S12	w2_35cntrl_S13	w2_35cntrl_S14	w2_35cntrl_S15	w2_35cntrl_S16	w2_35cntrl_S17	w2_35cntrl_S18	w2_35cntrl_S19	w2_35cntrl_S20	w2_35cntrl_S21
0	0.0827	0.0843	0.0822	0.081	0.0814	0.0832	0.0817	0.0817	0.0825	0.0796	0.0806	0.0809	0.0808	0.0803	0.0819	0.0817	0.0826	0.0809	0.0807	0.0807	0.0984
10	0.0826	0.0841	0.082	0.0809	0.0812	0.083	0.0814	0.0815	0.0825	0.0796	0.0801	0.0805	0.0806	0.0803	0.0808	0.0816	0.0827	0.0808	0.0805	0.0809	0.0983
20	0.0823	0.0843	0.0821	0.0809	0.0814	0.083	0.0816	0.0815	0.0829	0.0797	0.0805	0.0807	0.0805	0.0803	0.0808	0.0814	0.0825	0.0811	0.0805	0.0805	0.0982
30	0.0824	0.0843	0.0821	0.081	0.081	0.0834	0.0814	0.0818	0.0822	0.0796	0.0799	0.0807	0.0807	0.0805	0.0809	0.0816	0.0825	0.0806	0.081	0.0806	0.0988
40	0.0825	0.0843	0.0825	0.081	0.0813	0.083	0.0815	0.0822	0.0818	0.0796	0.0794	0.0807	0.081	0.0801	0.081	0.0816	0.0825	0.0808	0.0814	0.0805	0.0989
50	0.0818	0.0846	0.0826	0.0811	0.0814	0.0828	0.0817	0.0821	0.0817	0.0797	0.0793	0.081	0.081	0.08	0.0813	0.0819	0.0828	0.0807	0.0805	0.0802	0.0997
60	0.0817	0.0846	0.0825	0.0813	0.0814	0.0828	0.0815	0.082	0.0817	0.0797	0.0799	0.0811	0.0804	0.0802	0.0811	0.0816	0.0829	0.0812	0.0806	0.0804	0.0988
70	0.0816	0.085	0.0829	0.0814	0.0815	0.0832	0.0814	0.082	0.082	0.0798	0.0797	0.0811	0.0807	0.0797	0.0806	0.0816	0.083	0.0811	0.0806	0.0805	0.0997
80	0.0818	0.0848	0.0824	0.0812	0.0815	0.0831	0.0815	0.082	0.082	0.0798	0.08	0.0812	0.0806	0.0795	0.0807	0.0817	0.0831	0.0815	0.0809	0.0802	0.0998
90	0.0819	0.0839	0.0822	0.0807	0.0818	0.0829	0.0819	0.0821	0.0817	0.0798	0.0802	0.0811	0.0803	0.0793	0.0808	0.082	0.0828	0.0811	0.0806	0.0807	0.1003
100	0.0823	0.0836	0.0822	0.0808	0.0817	0.0828	0.082	0.082	0.0821	0.0795	0.0799	0.0809	0.0805	0.0796	0.0809	0.0818	0.0828	0.0812	0.0804	0.0805	0.0999
